filename,license,author
d10.svg ,CC BY 3.0, Lonnie Tapscott
d12.svg ,CC BY 3.0, Lonnie Tapscott
d20_1.svg ,CC BY 3.0,jmsleiman
d20_2.svg ,CC BY 3.0,jmsleiman
d20_blank_2.svg ,CC BY 3.0, Lonnie Tapscott
d20_blank_creditted.svg ,CC BY 3.0, Lonnie Tapscott
d20_blank.svg ,CC BY 3.0,jmsleiman
d20.svg ,CC BY 3.0, Lonnie Tapscott
d4.svg ,CC BY 3.0, Lonnie Tapscott
d6.svg ,CC BY 3.0, Lonnie Tapscott
d8.svg ,CC BY 3.0, Lonnie Tapscott
adventure-gun-hunter-svgrepo-com.svg ,CC0 License,SVG Repo
Maximum-territory-distance-svgrepo-com.svg,MIT,Esri
hand-svgrepo-com.svg,MIT,Zest
arrow-circle-down-svgrepo-com.svg,CC Attribution,Dazzle UI
plus-svgrepo-com.svg,CC Attribution,Dazzle UI
shield-alt-1-svgrepo-com.svg,CC Attribution,Dazzle UI
read-svgrepo-com.svg,PD License,Giovanna Tonello
